,side,quantity,price.amount,pv_level,pv_level_cum
0,ask,50,113.3,5665.0,5665.0
1,ask,40,113.44,4537.6,10202.6
2,ask,39,113.5,4426.5,14629.1
3,ask,65,113.55,7380.75,22009.85
4,ask,100,113.58,11358.0,33367.85
5,ask,29,113.6,3294.3999999999996,36662.25
6,ask,76,113.63,8635.88,45298.13
7,ask,104,113.64,11818.56,57116.689999999995
8,ask,50,113.69,5684.5,62801.189999999995
9,ask,3551,113.72,403819.72,466620.91
10,ask,1,113.73,113.73,466734.63999999996
11,ask,100,113.75,11375.0,478109.63999999996
12,ask,400,113.77,45508.0,523617.63999999996
13,ask,1319,113.8,150102.19999999998,673719.84
14,ask,478,113.85,54420.299999999996,728140.14
15,ask,25,113.87,2846.75,730986.89
16,ask,121,113.88,13779.48,744766.37
17,ask,820,113.89,93389.8,838156.17
18,ask,220,113.9,25058.0,863214.17
19,ask,237,113.95,27006.15,890220.3200000001
20,ask,25,113.96,2849.0,893069.3200000001
21,ask,105,113.97,11966.85,905036.17
22,ask,10,113.98,1139.8,906175.9700000001
23,ask,131,113.99,14932.689999999999,921108.66
24,ask,5629,114.0,641706.0,1562814.6600000001
25,ask,20,114.02,2280.4,1565095.06
26,ask,28,114.04,3193.1200000000003,1568288.1800000002
27,ask,720,114.05,82116.0,1650404.1800000002
28,ask,200,114.08,22816.0,1673220.1800000002
29,ask,30,114.09,3422.7000000000003,1676642.8800000001
30,ask,205,114.1,23390.5,1700033.3800000001
31,ask,20,114.12,2282.4,1702315.78
32,ask,372,114.13,42456.36,1744772.1400000001
33,ask,30,114.14,3424.2,1748196.34
34,ask,5,114.15,570.75,1748767.09
35,ask,50,114.19,5709.5,1754476.59
36,ask,57,114.2,6509.400000000001,1760985.99
37,ask,13,114.22,1484.86,1762470.85
38,ask,20,114.23,2284.6,1764755.4500000002
39,ask,268,114.3,30632.399999999998,1795387.85
40,ask,700,114.33,80031.0,1875418.85
41,ask,133,114.35,15208.55,1890627.4000000001
42,ask,218,114.38,24934.84,1915562.2400000002
43,ask,172,114.4,19676.8,1935239.0400000003
44,ask,10,114.41,1144.1,1936383.1400000004
45,ask,130,114.47,14881.1,1951264.2400000005
46,ask,24,114.48,2747.52,1954011.7600000005
47,ask,823,114.49,94225.26999999999,2048237.0300000005
48,ask,4696,114.5,537692.0,2585929.0300000003
49,ask,2,114.53,229.06,2586158.0900000003
50,ask,100,114.57,11457.0,2597615.0900000003
51,ask,1221,114.58,139902.18,2737517.2700000005
52,ask,12,114.59,1375.08,2738892.3500000006
53,ask,694,114.6,79532.4,2818424.7500000005
54,ask,4,114.63,458.52,2818883.2700000005
55,ask,1,114.64,114.64,2818997.9100000006
56,ask,2000,114.65,229300.0,3048297.9100000006
57,ask,200,114.67,22934.0,3071231.9100000006
58,ask,2,114.68,229.36,3071461.2700000005
59,ask,3,114.69,344.07,3071805.3400000003
60,ask,65,114.7,7455.5,3079260.8400000003
61,ask,14,114.71,1605.9399999999998,3080866.7800000003
62,ask,40,114.72,4588.8,3085455.58
63,ask,200,114.73,22946.0,3108401.58
64,ask,48,114.74,5507.5199999999995,3113909.1
